level,N_label,N_used,c,FC,fC
low,"N∈[2,2]",2,-10.003845029186206,0.009132611386275413,1.3912315384381725e-08
low,"N∈[2,2]",2,-9.45130765003811,0.018350182785957236,1.6284946007038e-08
low,"N∈[2,2]",2,-9.162457349282247,0.027655130391204596,1.761608373504631e-08
low,"N∈[2,2]",2,-8.945905154523247,0.037049987137064755,1.866796012190006e-08
low,"N∈[2,2]",2,-8.612081716216938,0.04653741075440765,2.0200662501325305e-08
low,"N∈[2,2]",2,-8.36638254274759,0.05612019255146106,2.1385126142909215e-08
low,"N∈[2,2]",2,-7.944278034421027,0.06580126700617239,2.3255299045486524e-08
low,"N∈[2,2]",2,-7.740942338278069,0.07558372226282462,2.4278565636087666e-08
low,"N∈[2,2]",2,-7.435683320568692,0.08547081163932424,2.56875412016743e-08
low,"N∈[2,2]",2,-6.554518233091418,0.09546596626670911,2.9087168431548174e-08
low,"N∈[2,2]",2,-6.339446628036804,0.10557280900008414,3.013121162002694e-08
low,"N∈[2,2]",2,-5.880616031156972,0.11579516976088522,3.194839997994644e-08
low,"N∈[2,2]",2,-5.6306971361309905,0.126137102494697,3.308997988276729e-08
low,"N∈[2,2]",2,-5.265112658961648,0.13660290395754426,3.455647885059372e-08
low,"N∈[2,2]",2,-4.986121732728777,0.14719713457755823,3.575108074554531e-08
low,"N∈[2,2]",2,-4.756142315518517,0.15792464167931552,3.6803231878131424e-08
low,"N∈[2,2]",2,-4.578276435309173,0.1687905854063665,3.772308664599571e-08
low,"N∈[2,2]",2,-4.2112381095700275,0.17980046773527558,3.9058753652114675e-08
low,"N∈[2,2]",2,-3.8997810115330593,0.1909601650441095,4.0206693808076104e-08
low,"N∈[2,2]",2,-3.6728149443770555,0.2022759647825344,4.116002255624665e-08
low,"N∈[2,2]",2,-3.4107849088803426,0.21375460689310355,4.2132498295681794e-08
low,"N∈[2,2]",2,-3.2197812465466917,0.2254033307585166,4.298520294920558e-08
low,"N∈[2,2]",2,-3.046052229195749,0.2372299286035262,4.381066107113133e-08
low,"N∈[2,2]",2,-2.823051646507404,0.2492428064704516,4.4655273759399226e-08
low,"N∈[2,2]",2,-2.613512796490988,0.2614510541240036,4.546223885866983e-08
low,"N∈[2,2]",2,-2.4395647181202826,0.2738645255376051,4.6245195044492226e-08
low,"N∈[2,2]",2,-2.1864530067293404,0.2864939319873243,4.698462258300356e-08
low,"N∈[2,2]",2,-1.8966800049054957,0.2993509502546293,4.76235595997852e-08
low,"N∈[2,2]",2,-1.7065718302410324,0.3124483490476714,4.830425245080118e-08
low,"N∈[2,2]",2,-1.3850626621341962,0.32580013753675785,4.873030412534868e-08
low,"N∈[2,2]",2,-1.1826474667272275,0.33942174092418365,4.930445299768694e-08
low,"N∈[2,2]",2,-0.8321825932993497,0.35333020931713677,4.9443116134046007e-08
low,"N∈[2,2]",2,-0.6277124117874848,0.3675444679663241,4.991375832399467e-08
low,"N∈[2,2]",2,-0.4221181126402342,0.3820856193466753,5.036472232041925e-08
low,"N∈[2,2]",2,-0.20878660157476087,0.39697731084447274,5.077379149728428e-08
low,"N∈[2,2]",2,0.0015159735015863552,0.4122461863547413,5.118704682752901e-08
low,"N∈[2,2]",2,0.25020101845347414,0.42792244645264466,5.1416072256660133e-08
low,"N∈[2,2]",2,0.5078685956984339,0.44404055085743066,5.157961816062939e-08
low,"N∈[2,2]",2,0.8190442929511266,0.4606401100294063,5.142586822156386e-08
low,"N∈[2,2]",2,1.143050723540971,0.4777670321329065,5.1155060524199194e-08
low,"N∈[2,2]",2,1.5095653253368548,0.495475020890487,5.0581498717296294e-08
low,"N∈[2,2]",2,2.1344892944413525,0.5138275651956024,4.8198608079345786e-08
low,"N∈[2,2]",2,2.5548288863819866,0.5329006335030863,4.7153651156601176e-08
low,"N∈[2,2]",2,3.0693363094566286,0.5527864045000421,4.545657929841366e-08
low,"N∈[2,2]",2,3.522840423848411,0.5735985672887791,4.426633601560224e-08
low,"N∈[2,2]",2,3.999828459904449,0.5954800825220548,4.301923678452774e-08
low,"N∈[2,2]",2,4.579929835069444,0.618614964301763,4.116515232476423e-08
low,"N∈[2,2]",2,5.1652017323734984,0.643246965993662,3.949492789545344e-08
low,"N∈[2,2]",2,5.769701115411361,0.6697108704620918,3.7985727452861416e-08
low,"N∈[2,2]",2,7.055966725452938,0.6984886554222363,3.211089169112202e-08
low,"N∈[2,2]",2,8.179686575088317,0.7303200550147031,2.8436453238646553e-08
low,"N∈[2,2]",2,10.007392511144314,0.7664503167515431,2.3084410697884684e-08
low,"N∈[2,2]",2,12.84339742199348,0.8093074821508814,2.036886366183938e-08
low,"N∈[2,2]",2,15.026027207767633,0.8651600275073515,2.532978961812229e-08
low,"N∈[2,2]",2,17.78188153,1.0,0.0
median,"N∈[3,3]",3,-4.481508219562996,0.005154730721135037,1.743505037250094e-08
median,"N∈[3,3]",3,-4.356410799426825,0.010363440133576374,1.8417077155778193e-08
median,"N∈[3,3]",3,-4.170227387532956,0.015627563947734235,1.9808228104846795e-08
median,"N∈[3,3]",3,-3.9326874586143226,0.02094859996530629,2.153917165117826e-08
median,"N∈[3,3]",3,-3.854250190881704,0.026328111832561674,2.227477291507791e-08
median,"N∈[3,3]",3,-3.5537986734964746,0.03176773308722747,2.4394195301110822e-08
median,"N∈[3,3]",3,-3.4778291200330966,0.03726917152734288,2.513457110096843e-08
median,"N∈[3,3]",3,-3.3186032163053953,0.04283421393372755,2.6378116812177168e-08
median,"N∈[3,3]",3,-3.2374785506253416,0.04846473118143246,2.7166030947738414e-08
median,"N∈[3,3]",3,-3.1545229022420176,0.05416268377977784,2.7974216903355658e-08
median,"N∈[3,3]",3,-2.995433866938996,0.059930127885418516,2.9215080096099583e-08
median,"N∈[3,3]",3,-2.9187208459731853,0.06576922183839329,3.0001540509820514e-08
median,"N∈[3,3]",3,-2.7772630199719135,0.07168223327744416,3.113732952109634e-08
median,"N∈[3,3]",3,-2.571823540019056,0.0776715468981547,3.2570388154717607e-08
median,"N∈[3,3]",3,-2.439763279247764,0.08373967292582107,3.361930301232186e-08
median,"N∈[3,3]",3,-2.2619725615483928,0.08988925638462719,3.48461889433823e-08
median,"N∈[3,3]",3,-2.177438485049185,0.0961230872558696,3.567091163475178e-08
median,"N∈[3,3]",3,-1.8618268773917908,0.10244411163095735,3.7296819323171834e-08
median,"N∈[3,3]",3,-1.4850584854043931,0.10885544398001923,3.88160154947623e-08
median,"N∈[3,3]",3,-1.2915463617324014,0.11536038067459786,3.973440948447148e-08
median,"N∈[3,3]",3,-1.1070153307416626,0.1219624149235875,4.056171740213976e-08
median,"N∈[3,3]",3,-1.0246287483293046,0.12866525330587908,4.1257199750436057e-08
median,"N∈[3,3]",3,-0.9566184285417911,0.13547283411185762,4.195134083710052e-08
median,"N∈[3,3]",3,-0.8652395752526051,0.14238934773985445,4.266474346014401e-08
median,"N∈[3,3]",3,-0.8047800302157425,0.14941925943401968,4.338104007991907e-08
median,"N∈[3,3]",3,-0.6522836300836184,0.1565673346982508,4.408787546458572e-08
median,"N∈[3,3]",3,-0.5551400709504434,0.16383866777854095,4.4798107127821606e-08
median,"N∈[3,3]",3,-0.4718172201712406,0.17123871367559085,4.552489447533333e-08
median,"N∈[3,3]",3,-0.3017873604569146,0.17877332423355086,4.613436335050235e-08
median,"N∈[3,3]",3,-0.22127258311809692,0.18644878895285233,4.686537173095342e-08
median,"N∈[3,3]",3,-0.09684930446589365,0.19427188129977835,4.751252726801212e-08
median,"N∈[3,3]",3,0.012328129158723633,0.20224991143852455,4.81875066309749e-08
median,"N∈[3,3]",3,0.08625083771623694,0.21039078650057152,4.897121570764555e-08
median,"N∈[3,3]",3,0.32394577930530905,0.21870307974106706,4.919794185220827e-08
median,"N∈[3,3]",3,0.5096295968055823,0.22719611022557273,4.9513171602854306e-08
median,"N∈[3,3]",3,0.6888330613468834,0.23588003506014388,4.979218923243086e-08
median,"N∈[3,3]",3,0.8794437918299192,0.2447659566462812,4.9951881457092954e-08
median,"N∈[3,3]",3,0.9750120569398965,0.25386604804085133,5.062186397697572e-08
median,"N∈[3,3]",3,1.086389235621546,0.2631937002719227,5.122181634090824e-08
median,"N∈[3,3]",3,1.1566685444472689,0.2727636964628609,5.21185149645488e-08
median,"N∈[3,3]",3,1.3344559263411218,0.28259241893009945,5.231719579603582e-08
median,"N∈[3,3]",3,1.6438107897700807,0.29269809715907424,5.148186039590561e-08
median,"N∈[3,3]",3,1.9791779264833955,0.30310110689104264,5.0294046705017724e-08
median,"N∈[3,3]",3,2.0935738944324918,0.3138243337070383,5.0898508732339346e-08
